Team,ELO_Rating,Peak_ELO,Games_Played
Howard,1635.26,1635.26,56
Arkansas–Pine Bluff,1615.89,1627.88,56
Lindenwood,1614.19,1615.23,59
Incarnate Word,1600.72,1635.65,58
Houston Christian,1599.06,1613.96,60
Grambling State,1598.85,1622.66,55
Eastern Washington,1598.61,1614.51,60
Idaho,1597.49,1620.01,60
East Tennessee State,1597.22,1597.22,60
Georgia State,1596.39,1607.79,61
McNeese State,1595.78,1619.32,60
Eastern Kentucky,1594.73,1620.67,62
Le Moyne,1593.08,1627.68,60
Lehigh,1591.14,1601.95,58
LIU,1589.8,1618.39,60
Cal State Fullerton,1587.72,1597.02,58
Albany (NY),1587.56,1587.56,60
Southern Indiana,1587.29,1608.24,58
Little Rock,1585.51,1642.05,60
Holy Cross,1584.85,1594.24,62
Abilene Christian,1583.7,1631.41,55
Louisiana Tech,1583.4,1592.14,55
FDU,1582.13,1624.56,59
Chattanooga,1581.84,1601.86,60
Iona,1580.35,1595.94,60
Long Beach State,1578.51,1594.02,58
Idaho State,1578.23,1631.17,55
High Point,1578.23,1597.18,60
Maryland Eastern Shore,1577.93,1628.13,54
Chicago State,1577.73,1610.97,62
California Baptist,1577.67,1599.27,56
Manhattan,1576.72,1590.39,53
Green Bay,1576.26,1607.28,63
Austin Peay,1576.18,1622.65,64
Charleston Southern,1575.69,1604.88,60
Tennessee State,1575.42,1627.52,59
Appalachian State,1575.29,1589.11,58
Southern Utah,1574.8,1576.79,55
Central Arkansas,1574.56,1608.27,64
Furman,1574.22,1612.82,59
Longwood,1574.18,1599.97,59
Eastern Illinois,1573.44,1621.2,59
Purdue Fort Wayne,1573.22,1595.78,60
Southeast Missouri State,1573.03,1630.27,59
Southern,1572.94,1609.09,55
Cal State Bakersfield,1572.83,1606.42,60
Detroit Mercy,1572.61,1595.39,63
Jacksonville,1571.75,1635.88,60
Louisiana,1571.24,1575.3,63
Coppin State,1570.48,1635.06,55
IU Indy,1569.93,1605.58,61
Stonehill,1569.71,1611.46,60
Florida A&M,1569.05,1637.88,54
Gardner-Webb,1569.01,1612.67,58
Lamar,1568.89,1624.74,59
Delaware State,1568.81,1644.46,52
Norfolk State,1568.39,1583.1,57
Florida International,1568.11,1602.03,56
UMass Lowell,1567.76,1598.98,59
Weber State,1567.66,1625.57,61
Western Carolina,1567.34,1596.99,55
Kent State,1565.82,1597.29,58
Arkansas State,1565.5,1592.58,61
Texas Southern,1565.19,1600.57,57
Hampton,1565.09,1588.15,59
Grand Canyon,1564.71,1586.16,55
Denver,1564.69,1602.76,59
UC Davis,1563.94,1619.43,56
Central Connecticut State,1563.92,1613.81,56
Bucknell,1563.88,1586.34,62
Montana State,1563.1,1603.93,61
New Orleans,1562.98,1579.97,62
Jacksonville State,1562.87,1609.61,57
Prairie View A&M,1562.3,1593.65,59
Akron,1562.03,1593.95,58
Kennesaw State,1561.68,1591.13,57
Mercer,1561.36,1617.49,60
