Rk,Team,Date,,Opp,Result
1,Abilene Christian,2024-11-04,,Howard Payne,W 107-74
2,Air Force,2024-11-04,,North Alabama,L 57-73
3,Akron,2024-11-04,@,Arkansas State,L 75-80 (OT)
4,Alabama,2024-11-04,,UNC Asheville,W 110-54
5,UAB,2024-11-04,,Vermont,L 62-67
6,Alabama State,2024-11-04,@,UNLV,L 79-93
7,Albany (NY),2024-11-04,@,Army,L 59-67
8,Alcorn State,2024-11-04,@,Utah,L 59-100
9,American,2024-11-04,@,La Salle,L 52-65
10,Appalachian State,2024-11-04,,Miami (OH),L 63-77
11,Arizona,2024-11-04,,Canisius,W 93-64
12,Little Rock,2024-11-04,,Arkansas Baptist,W 84-64
13,Arkansas–Pine Bluff,2024-11-04,@,Cincinnati,L 54-109
14,Arkansas State,2024-11-04,,Akron,W 80-75 (OT)
15,Army,2024-11-04,,Albany (NY),W 67-59
16,Austin Peay,2024-11-04,,Union (TN),W 95-75
17,Ball State,2024-11-04,@,Georgia State,L 66-71
18,Baylor,2024-11-04,@,Gonzaga,L 63-101
19,Bellarmine,2024-11-04,@,VCU,L 65-84
20,Belmont,2024-11-04,,Maryville (TN),W 93-70
21,Binghamton,2024-11-04,@,Penn State,L 66-108
22,Boston College,2024-11-04,,The Citadel,W 69-60
23,Boston University,2024-11-04,,Northeastern,L 72-80
24,Bowling Green,2024-11-04,@,Southern Mississippi,L 68-77
25,Bradley,2024-11-04,,Southeast Missouri State,W 88-60
26,Brown,2024-11-04,@,Siena,L 71-72 (OT)
27,Bryant,2024-11-04,,Dean,W 105-63
28,Bucknell,2024-11-04,@,Delaware,W 85-73
29,Buffalo,2024-11-04,@,Old Dominion,W 83-82
30,Butler,2024-11-04,,Missouri State,W 72-65
31,Cal State Bakersfield,2024-11-04,@,California,L 73-86
32,Cal State Fullerton,2024-11-04,@,Grand Canyon,L 79-89
33,Cal State Northridge,2024-11-04,@,St. Bonaventure,L 56-70
34,California,2024-11-04,,Cal State Bakersfield,W 86-73
35,California Baptist,2024-11-04,,Incarnate Word,W 83-78
36,UC Irvine,2024-11-04,,Chapman,W 82-52
37,UC Riverside,2024-11-04,@,Oregon,L 76-91
38,UC Santa Barbara,2024-11-04,,San Fran. St.,W 96-47
39,Campbell,2024-11-04,,Pfeiffer,W 96-49
40,Canisius,2024-11-04,@,Arizona,L 64-93
41,Central Connecticut State,2024-11-04,@,Providence,L 55-59
42,UCF,2024-11-04,,Texas A&M,W 64-61
43,Central Michigan,2024-11-04,@,South Alabama,W 74-70
44,Charleston Southern,2024-11-04,@,Clemson,L 64-91
45,Charlotte,2024-11-04,,Presbyterian,W 88-79
46,Chattanooga,2024-11-04,@,Southern California,L 51-77
47,Chicago State,2024-11-04,@,Loyola Chicago,L 72-79
48,Cincinnati,2024-11-04,,Arkansas–Pine Bluff,W 109-54
49,The Citadel,2024-11-04,@,Boston College,L 60-69
50,Clemson,2024-11-04,,Charleston Southern,W 91-64
51,Cleveland State,2024-11-04,@,Michigan,L 53-101
52,Coastal Carolina,2024-11-04,,Western Michigan,W 60-56
53,College of Charleston,2024-11-04,N,Southern Illinois,W 90-80
54,Colorado,2024-11-04,,Eastern Washington,W 76-56
