,,,,,,,,Miscellaneous,Miscellaneous,Miscellaneous,Team Shooting,Team Shooting,Team,Team,Team,Team,Opponent Shooting,Opponent Shooting,Opponent,Opponent,Opponent,Opponent
Rk,Season,Team,Seed,G,W,L,W/L%,Pace,ORtg,DRtg,eFG%,TS%,TOV%,ORB%,DRB%,FTr,eFG%,TS%,TOV%,ORB%,DRB%,FTr
1,1978-79,Appalachian State,6,29,23,6,.793,,,,.509,.550,,,,.434,.439,.462,,,,.225
2,1978-79,Arkansas,2,30,25,5,.833,,,,.535,.575,19.1,,,.474,.434,.472,14.7,,,.300
3,1978-79,Brigham Young,5,28,20,8,.714,,,,.529,.562,18.8,,,.403,.458,.489,17.6,,,.318
4,1978-79,Connecticut,5,29,21,8,.724,,,,.475,.523,,,,.421,.458,.496,,,,.301
5,1978-79,DePaul,2,32,26,6,.813,,,,.489,.530,,,,.312,.490,.511,,,,.222
6,1978-79,Detroit,7,28,22,6,.786,,,,.493,.515,,,,.209,.449,.477,,,,.289
7,1978-79,Duke,2,30,22,8,.733,,,,.513,.549,,,,.401,.474,.504,,,,.286
8,1978-79,Eastern Kentucky,9,29,21,8,.724,,,,.487,.524,16.5,,,.302,.487,.525,20.8,,,.369
9,1978-79,Georgetown,3,29,24,5,.828,,,,.512,.557,18.2,,,.431,.443,.467,16.4,,,.223
10,1978-79,Indiana State,1,34,33,1,.971,,,,.500,.529,,,,.377,.451,.478,,,,.235
11,1978-79,Iona,8,29,23,6,.793,,,,.515,.553,21.5,,,.390,.455,.490,19.8,,,.320
12,1978-79,Iowa,4,28,20,8,.714,,,,.474,.520,,,,.388,.443,.479,,,,.341
13,1978-79,Jacksonville,9,30,19,11,.633,,,,.494,.531,,,,.341,.471,.511,,,,.370
14,1978-79,Lamar,10,32,23,9,.719,,,,.471,.499,,,,.264,.477,.503,,,,.261
15,1978-79,Louisiana State,3,29,23,6,.793,,,,.520,.548,,,,.380,.453,.498,,,,.422
16,1978-79,Louisville,3,32,24,8,.750,,,,.504,.543,20.2,,,.450,.445,.478,,,,.302
